a.m.,เอเอ็ม,ก่อนเที่ยง
eternal,อิทเท๊อร์น่อล,อมตะ
ethics,เอ๊ททิคส,จรรยาบรรณ
evacuate,อีแฝ๊คคิวเอท,"อพยพ,ถอย"
evaluate,อีแฝ๊ลูเอท,ประเมินค่า
evaporate,อีแว๊โพเหรท,ระเหย
eve,อี๊ฟ,วันศุกร์ดิบ
even,อี๊เฝ่น,"แม้แต่,เท่าเทียม"
evening,อี๊ฝนิ่ง,ตอนเย็น
event,อีเฝ๊นท,เหตุการณ์
eventually,อีเฝ๊นชวลลี่,ในที่สุด
ever,เอ๊เฝ่อร์,"เคย,ตลอดไป"
every,เอ๊เฝอร์รี่,ทุกๆ
evidence,เอ๊ฝิเด้นซ,หลักฐาน
evil,อี๊ฝิ่ล,ปีศาจ
evolve,อีโฝ๊ลฝ,เจริญขึ้น
ex-,เอ็กซ์,อดีต
exact,เอ็กแซคท,แน่นอน
exaggerate,เอ็กแซ๊กเกอร์เหรท,คุยโม้
examine,เอ็กแซ๊มไมน์,"ตรวจ,สำรวจ"
example,เอ็กแซ๊มเพิ่ล,ตัวอย่าง
exceed,เอ็กซี๊ด,เกิน
excellent,เอ็กเซเลท,ดีเลิศ
except,เอ็กเซ๊พท,ยกเว้น
excess,เอ็กเซสส,เกิน
exchange,เอ็กซเช้งจ,แลกเปลี่ยน
excite,เอ็กไซ๊ทํ,"ตื่นเต้น,กระตุ้น"
exclaim,เอ็กซเคลม,อุทาน
exclude,เอ็กซคลู๊ด,ไม่รวม
excuse,เอ็กซคิ้วส,ขอโทษ
execute,เอ๊กเซ็คคิ้วท,"ปฏิบัติ,จัดการ"
exempt,เอ็กเซ๊มพท,ยกเว้น
exercise,เอ๊กเซอร์ไซส,"ฝึกหัด,ออกกำลังกาย"
exhaust,เอ็กซอสทํ,"ไอเสีย,ดูดออกหมด"
exhibit,เอ็กซฮิ๊บิท,"แสดง,นิทรรศการ"
exile,เอ๊กไซล์,เนรเทศ
exist,เอ็กซิ๊สท,คงอยู่
exit,เอ๊กสิท,"ออก,ทางออก"
expand,เอ็กสแพนด,"ขยาย,แผ่"
expect,เอ็กซเพ็คท,คาดหมาย
expend,เอ็กซเพ็นด,ใช้จ่าย
expense,เอ็กซเพ้นซ,ค่าใช้จ่าย
experience,เอ็กซพี๊เหรียนซํ,ประสบการณ์
experiment,เอ็กซเพ๊อริเม้นท,ทดลอง
expert,เอ๊กซเพิร์ท,ผู้เชี่ยวชาญ
explain,เอ็กซเพลน,อธิบาย
explode,เอ็กซโพลด,ระเบิด
exploit,เอ็กซพล๊อยท,ใช้ทำประโยชน์
explore,เอ็กซโพลร์,สำรวจ
expo,เอ็กซโพ,การแสดงสินค้า
export,เอ๊กซพอร์ท,ส่งออก
expose,เอ็กซโพส,"เปิดออก,เผยออก"
express,เอ็กซเพรส,"แสดง(ความรู้สึก),ด่วน"
extend,เอ็กซเท็นด,"ต่อออกไป,ขยาย"
external,เอ็กซเท๊อร์น่อล,ภายนอก
extinct,เอ็กซทิ๊นคํทํ,สูญพันธุ์
extra,เอ๊กซทร่า,พิเศษ
extreme,เอ็กซทรีม,สูงสุด
eye,อาย,ตา
eye doctor,อาย ด็อคเทอะ,หมอตา
eye drops,อาย ดรอพส์,ยาหยอดตา
eyeball,อ๊ายบอล,ลูกตา
eyebrow,อ๊ายเบรา,คิ้ว
eyelash,อ๊ายแลช,ขนตา
eyelid,อ๊ายลิด,เปลือกตา
eyesight,อ๊ายไซท,สายตา
fabric,แฟ๊-บริค,ผ้า
face,เฟซ,"หน้า,เผชิญหน้า"
facsimile,แฟ็คซิ๊มายล์,เครื่องแฟกซ์
fact,แฟคท,ความจริง
faction,แฟ๊คชั่น,"ฝ่าย,พวก"
factor,แฟ๊คเท่อร์,ปัจจัย
factory,แฟ๊คโทรี่,โรงงาน
faculty,แฟ๊คัลที่,คณะ(ในมหา’ลัย)
fade,เฟด,เลือนหายไป
fail,เฟล,"ตก,พลาด"
faint,เฟ้นท,เป็นลม
fair,แฟร์,"พอใช้,ยุติธรรม,ตลาดนัด"
faith,เฟท,"ศรัทธา,เลื่อมใส"
fake,เฟ้ค,ปลอม
fall,ฟอลล์,"ตก,ล้ม,พัง"
FALSE,ฟอลซ,"เท็จ,ผิด"
fame,เฟม,ชื่อสียง
familiar,แฟมิ๊ลิอาร์,คุ้นเคย
family,แฟ๊มิลี่,ครอบครัว
famine,แฟ๊ไมน์,อดหยาก
famous,เฟ๊มัส,มีชื่อเสียง
fan,แฟน,"พัดลม,แฟน(เพลง)"
fancy,แฟ๊นซี,แปลก
fantasy,แฟ๊นทะซี,"ประหลาด,อัศจรรย์"
far,ฟาร์,ไกล
fare,แฟร์,ค่าโดยสาร
farm,ฟาร์ม,"นา,ไร่,ที่เลี้ยงสัตว์"
farmer,ฟ๊าเมอะ,ชาวนา
fascinate,แฟ๊ซซิเหนท,ทำให้หลง
fashion,แฟ๊ชั่น,ความนิยม
fast,ฟาสท,"เร็ว,อดอาหาร,ผูกให้แน่น"
fast food,ฟาสทฺ-ฟูด,"อาหารจานด่วน, อาหารฟาสต์ฟู้ด"
fat,แฟท,"อ้วน,ไขมัน"
fatal,เฟ๊ท่อล,ถึงตาย
fate,เฟ้ท,โชคชะตา
Father,ฟา'เธอะ,พ่อ
fatigue,ฟาที้ก,เหนื่อยล้า
fault,ฟอลท,ผิด
favour,เฟ๊เฝ่อร,"ชอบ,เข้าข้าง"
fear,เฟียร์,กลัว
feasible,ฟี๊ซิเบิ้ล,เป็นไปได้
feature,ฟี๊เจ้อร์,ลักษณะรูปร่าง
federal,เฟ๊ดเดอร่อล,สหพันธรัฐ
feed,ฟีด,"ให้อาหาร,ป้อน"
feel,ฟีล,รู้สึก
fellow,เฟ๊ลโล่ว,เพื่อน
female,ฟี๊เมล,ผู้หญิง
fence,เฟ้นซ,รั้ว
fencing,เฟ็นซิง,ฟันดาบ
ferry,เฟ๊อรรี่,เรือข้ามฟาก
fertile,เฟ๊อร์ไทล์,"อุดมสมบูรณ์,ให้ผล"
fever,ฟี๊เฝ่อร,"ไข้,ความคลั่งไคล้"
few,ฟิว,"สองสาม,น้อย"
fiber,ไฟ๊เบ้อร,เส้นใย
fiction,ฟิ๊คชั่น,เรื่องที่แต่งขึ้น
field,ฟีลด,"ทุ่ง,สนาม"
fierce,เฟียร์ซ,ดุร้าย
fight,ไฟ้ท,ต่อสู้
figure,ฟิ๊กเก้อร,"ตัวเลข,จำนวน,รูปร่าง"
file,ไฟล์,แฟ้ม
fill,ฟิลล,เติมให้เต็ม
film,ฟิล์ม,"เยื่อหุ้ม,ฝ้า"
filter,ฟิ๊ลเท่อร์,กรอง
fin,ฟิน,ครีบ
final,ไฟ๊น่อล,สุดท้าย
finance,ไฟแน๊นซ,การเงิน
find,ไฟนด์,"หา,พบ"
fine,ไฟน,"ดี,ละเอียด"
finger,ฟิ๊งเก้อร,นิ้ว
fingernail,ฟิ๊งเกอะเนล,เล็บมือ
fingertip,ฟิ๊งเกอะทิพ,ปลายเล็บ
finish,ฟิ๊หนิช,"จบ,สำเร็จ"
finite,ไฟ๊ไน้ท,จำกัด
fire,ไฟเออะร,"ไฟ,ยิงปืน,ไล่ออก"
fire fighter,ไฟ เออะ ไฟ เทอะ,พนักงานดับเพลิง
fireman,ไฟ๊เมิน,นักดับเพลิง
firm,เฟิร์ม,"มั่นคง,บริษัท"
first,เฟิร์สท,"ที่หนึ่ง,แรก,สำคัญที่สุด"
fiscal,ฟิ๊ซคอล,"การเงิน,ภาษี"
fish,ฟิช,ปลา
fishermen,ฟีช เชอะเมน,ชาวประมง
fishery,ฟิ๊เชอรี่,การปะมง
fishing,ฟิ๊ชชิง,ตกปลา
fission,ฟิ๊ชชั่น,การแยกออก
fist,ฟิซท,กำปั้น
fit,ฟิท,"เหมาะ,พอดี"
fix,ฟิกซ์,"ซ่อม,ติด,ยึด"
flag,แฟล๊ก,ธง
flame,เฟลม,เปลวไฟ
flank,แฟล๊งค,ขนาบข้าง
flash,แฟลช,"แสงวาบ,ชั่วขณะ"
flat,แฟลท,"แบน,ราบ"
"flavor,flavour",เฟล๊เฝ้อร์,เครื่องปรุง
flee,ฟลี,หนีจาก
fleet,ฟลีท,กองเรือ
flesh,เฟลช,"เนื้อ,เลือดเนื้อ"
flexible,เฟล๊กซิเบิ้ล,ยืดหยุ่น
float,โฟล้ท,ลอย
flock,ฟล๊อค,ฝูง
flood,ฟลั๊ด,น้ำท่วม
floor,ฟลอร์,พื้น
flora,ฟล๊อร่า,ดอกไม้
flow,โฟลว์,ไหล
flower,ฟล๊าวเว่อร์,ดอกไม้
fluctuate,ฟลั๊คทุเอท,ขึ้นๆลงๆ
fluid,ฟลู๊อิด,ของไหล
fluke,ฟลุ๊ค,บังเอิญเคราะห์ดี
flush,ฟลัช,กลั้ว
fly, ไฟล์,แมลงวัน
foam,โฟม,ฟอง
focus,โฟ๊คัส,"จุดรวม,เพ่ง"
fog,ฟ๊อก,หมอก
-fold,-โฟลด์,-เท่า
folk,โฟล้ค,ชาวบ้าน
follow,ฟ๊อลโล่ว,"ตาม,หลังจาก"
food,ฟู้ด,อาหาร
fool,ฟูล,"โง่,เขลา"
foot,ฟุ้ท,"เท้า,ปลาย,ท้าย"
foot sole,ฟูท โซล,ฝ่าเท้า
foot spray,ฟุท สเปรย์,สเปรย์ดับกลิ่นเท้า
football,ฟุ๊ทบอล,ฟุตบอล
for,ฟอร์,"สำหรับ,เป็นระยะ"
forbid,ฟอร์บิด,ห้าม
force,ฟอร์ซ,"แรง,กำลัง,บังคับ"
fore,โฟร์,ข้างหน้า
fore-,โฟร์,ก่อน
forecast,โฟ๊ร์แคสท,ทำนาย
forehead,ฟอรฺเฮด,หน้าผาก
foreign,ฟอร์เรน,"ต่างชาติ,แปลก"
foremost,โฟร๊โมสท,มาก่อน
forest,ฟ๊อเรสท,ป่า
forever,ฟอเร๊เฝ่อร,ตลอดไป
forget,ฟอร์เก๊ท,ลืม
forgive,ฟอร์กี๊ฝ,ยกโทษให้
fork,ฟ๊อร์ค,"ส้อม,คราด"
form,ฟอร์ม,"รูป,ร่าง,ก่อขึ้น"
formal,ฟ๊อร์มอล,เป็นทางการ
former,ฟ๊อร์เม่อร์,"ก่อน,แต่ก่อน,คนก่อน"
formula,ฟ๊อร์มิวล่า,สูตร
forth,โฟธ,"ออกมา,ออกไป"
